               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.085571,            0.094349,            0.054228,          0.00069364,                 0.1,           0.0027884,           0.0011815,            0.090121,            0.044212,            0.052241,           0.0017431,           0.0017431,            0.084043
                  89,            0.091919,            0.075775,            0.053104,          0.00091116,             0.13333,           0.0035947,           0.0014753,            0.090135,            0.044144,            0.052283,           0.0017622,           0.0017622,            0.083862
                  90,            0.088891,            0.080898,             0.05255,          0.00089888,             0.13333,           0.0041425,           0.0011316,            0.089935,            0.044206,            0.052352,           0.0017813,           0.0017813,            0.083681
                  91,            0.086354,             0.10211,            0.052793,          0.00066007,                 0.1,           0.0024924,          0.00027299,            0.089973,            0.044171,            0.052393,           0.0018003,           0.0018003,              0.0835
                  92,            0.089858,            0.085129,            0.054071,          0.00061602,                 0.1,          0.00085304,          0.00021625,            0.090264,            0.044072,            0.052303,           0.0018193,           0.0018193,            0.083319
                  93,             0.08737,            0.088911,            0.052236,          0.00062112,                 0.1,           0.0011744,          0.00016148,            0.090588,            0.043848,            0.052183,           0.0018383,           0.0018383,            0.083138
                  94,             0.08688,             0.10788,            0.051469,           0.0010246,             0.16667,           0.0014225,          0.00016002,            0.091279,            0.043452,            0.051941,           0.0018573,           0.0018573,            0.082957
                  95,            0.090327,            0.067342,            0.051854,          0.00080564,             0.13333,           0.0011543,           0.0003038,            0.091403,            0.043366,            0.051824,           0.0018762,           0.0018762,            0.082776
                  96,            0.089696,            0.073762,            0.052253,          0.00079523,             0.13333,           0.0011937,           0.0002686,              0.0913,            0.043436,            0.051764,           0.0018952,           0.0018952,            0.082595
                  97,            0.088403,            0.081593,            0.052075,             0.60169,            0.033333,           0.0017988,          0.00056094,            0.091509,            0.043391,            0.051878,           0.0019141,           0.0019141,            0.082414
                  98,             0.08745,            0.089987,            0.053089,             0.40142,            0.033333,           0.0023074,          0.00046375,            0.093758,            0.042501,            0.052117,           0.0019329,           0.0019329,            0.082233
                  99,            0.088166,            0.089568,            0.051275,             0.40142,            0.033333,          0.00087324,          0.00019068,             0.09462,            0.042172,            0.052131,           0.0019518,           0.0019518,            0.082052
                 100,            0.086562,            0.095547,            0.051197,              0.2012,            0.033333,          0.00046174,           0.0001021,            0.095345,            0.042067,            0.052528,           0.0019706,           0.0019706,            0.081871
                 101,            0.085698,            0.098091,            0.053029,             0.40123,            0.033333,          0.00057505,          0.00017638,            0.095386,            0.042183,            0.052639,           0.0019895,           0.0019895,            0.081689
